id,title,description,tag,estimated_hours,created_at,due_date,days_left,priority,type,assignee
TASK0019,Fix login error,Need to implement a search bar with fuzzy matching and filters.,data,8,2025-09-26,2025-10-05,-18,High,feature,Chitra
TASK0020,Write unit tests,App crashes intermittently when submitting large form payloads.,frontend,6,2025-10-20,2025-10-21,-2,Medium,chore,Chitra
TASK0021,Update user profile UI,Refactor authentication flow to use OAuth2 best practices.,backend,12,2025-10-07,2025-10-17,-6,High,chore,Esha
TASK0022,Database migration,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,2,2025-10-04,2025-10-22,-1,Medium,chore,Esha
TASK0023,Fix login error,Allow users to export orders in CSV and Excel format.,devops,6,2025-09-24,2025-09-25,-28,Medium,bug,Chitra
TASK0024,Write unit tests,Add migration scripts to move old schema to new one. Ensure backups.,backend,2,2025-09-25,2025-10-14,-9,Medium,chore,Alice
TASK0025,Create onboarding flow,Need to implement a search bar with fuzzy matching and filters.,ux,8,2025-09-30,2025-10-05,-18,High,bug,Dev
TASK0026,Refactor auth module,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,8,2025-09-23,2025-10-13,-10,High,feature,Bob
TASK0027,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,data,4,2025-09-24,2025-10-07,-16,Medium,chore,Chitra
TASK0028,Refactor auth module,Design and implement onboarding wizard for new users.,backend,2,2025-10-09,2025-10-17,-6,Medium,bug,Alice
TASK0029,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,research,2,2025-10-05,2025-10-06,-17,Medium,bug,Alice
TASK0030,Add search feature,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",ux,4,2025-10-16,2025-10-19,-4,Medium,feature,Chitra
TASK0031,Create onboarding flow,Add migration scripts to move old schema to new one. Ensure backups.,research,2,2025-10-02,2025-10-21,-2,Medium,feature,Bob
TASK0032,Create onboarding flow,App crashes intermittently when submitting large form payloads.,frontend,1,2025-09-28,2025-10-02,-21,Medium,feature,Chitra
TASK0033,Investigate crash on submit,Design and implement onboarding wizard for new users.,ux,12,2025-10-10,2025-10-12,-11,High,feature,Alice
TASK0034,Investigate crash on submit,Speed up image loading using lazy loading and compression.,ux,1,2025-10-22,2025-10-30,7,Low,bug,Esha
TASK0035,Update user profile UI,App crashes intermittently when submitting large form payloads.,frontend,4,2025-10-09,2025-10-24,1,Medium,bug,Alice
TASK0036,Refactor auth module,Need to implement a search bar with fuzzy matching and filters.,backend,12,2025-10-09,2025-10-27,4,High,chore,Alice
TASK0037,Database migration,Profile page layout looks cramped on mobile devices. Improve spacing.,testing,6,2025-09-24,2025-10-10,-13,Medium,bug,Dev
TASK0038,Fix login error,Profile page layout looks cramped on mobile devices. Improve spacing.,testing,1,2025-09-25,2025-10-08,-15,Medium,bug,Dev
TASK0039,Investigate crash on submit,Refactor authentication flow to use OAuth2 best practices.,data,12,2025-10-14,2025-10-30,7,Low,bug,Chitra
TASK0040,Fix login error,Allow users to export orders in CSV and Excel format.,data,8,2025-10-17,2025-10-19,-4,High,feature,Alice
TASK0041,Add export CSV,Design and implement onboarding wizard for new users.,research,8,2025-10-22,2025-10-28,5,Medium,bug,Esha
TASK0042,Update user profile UI,Need to implement a search bar with fuzzy matching and filters.,research,1,2025-10-21,2025-10-29,6,Low,feature,Esha
TASK0043,Add export CSV,Allow users to export orders in CSV and Excel format.,backend,8,2025-10-16,2025-10-19,-4,High,feature,Esha
TASK0044,Refactor auth module,Speed up image loading using lazy loading and compression.,devops,2,2025-10-05,2025-10-16,-7,Medium,bug,Dev
TASK0045,Write unit tests,Design and implement onboarding wizard for new users.,devops,1,2025-10-19,2025-10-20,-3,Medium,feature,Esha
TASK0046,Add search feature,Refactor authentication flow to use OAuth2 best practices.,frontend,8,2025-10-20,2025-10-29,6,Low,bug,Chitra
TASK0047,Add search feature,Add migration scripts to move old schema to new one. Ensure backups.,devops,4,2025-09-25,2025-10-01,-22,Medium,feature,Esha
TASK0048,Write unit tests,Allow users to export orders in CSV and Excel format.,ux,12,2025-10-01,2025-10-18,-5,High,bug,Esha
TASK0049,Add search feature,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,1,2025-10-14,2025-10-18,-5,Medium,feature,Bob
TASK0050,Write unit tests,Allow users to export orders in CSV and Excel format.,frontend,12,2025-10-15,2025-10-26,3,Medium,bug,Chitra
TASK0051,Create onboarding flow,Add unit tests for payment module to improve coverage to 80%.,ux,1,2025-10-07,2025-10-10,-13,Medium,feature,Chitra
TASK0052,Fix login error,Speed up image loading using lazy loading and compression.,ux,2,2025-10-22,2025-10-31,8,Low,bug,Dev
TASK0053,Investigate crash on submit,Refactor authentication flow to use OAuth2 best practices.,backend,1,2025-10-06,2025-10-09,-14,Medium,chore,Bob
TASK0054,Fix login error,Speed up image loading using lazy loading and compression.,research,8,2025-10-06,2025-10-11,-12,High,feature,Alice
TASK0055,Optimize image loading,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",devops,2,2025-10-14,2025-10-22,-1,Medium,feature,Chitra
TASK0056,Refactor auth module,App crashes intermittently when submitting large form payloads.,research,12,2025-09-29,2025-10-04,-19,High,chore,Bob
TASK0057,Update user profile UI,Profile page layout looks cramped on mobile devices. Improve spacing.,testing,1,2025-09-26,2025-10-02,-21,Medium,feature,Chitra
TASK0058,Investigate crash on submit,Add migration scripts to move old schema to new one. Ensure backups.,devops,2,2025-09-28,2025-10-02,-21,Medium,feature,Alice
TASK0059,Create onboarding flow,Add migration scripts to move old schema to new one. Ensure backups.,frontend,6,2025-09-26,2025-10-08,-15,Medium,bug,Bob
TASK0060,Fix login error,Add migration scripts to move old schema to new one. Ensure backups.,testing,4,2025-10-16,2025-10-25,2,Medium,chore,Chitra
TASK0061,Refactor auth module,App crashes intermittently when submitting large form payloads.,data,8,2025-10-12,2025-10-23,0,High,chore,Alice
TASK0062,Write unit tests,Profile page layout looks cramped on mobile devices. Improve spacing.,research,4,2025-09-25,2025-09-27,-26,Medium,bug,Dev
TASK0063,Optimize image loading,App crashes intermittently when submitting large form payloads.,research,8,2025-10-12,2025-10-16,-7,High,feature,Esha
TASK0064,Write unit tests,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",data,6,2025-10-17,2025-10-18,-5,Medium,feature,Esha
TASK0065,Database migration,Speed up image loading using lazy loading and compression.,testing,1,2025-10-02,2025-10-13,-10,Medium,feature,Alice
TASK0066,Write unit tests,Refactor authentication flow to use OAuth2 best practices.,devops,12,2025-09-30,2025-10-14,-9,High,bug,Chitra
TASK0067,Update user profile UI,Add migration scripts to move old schema to new one. Ensure backups.,testing,12,2025-10-06,2025-10-19,-4,High,feature,Bob
TASK0068,Add export CSV,Add unit tests for payment module to improve coverage to 80%.,testing,8,2025-10-04,2025-10-05,-18,High,bug,Bob
TASK0069,Add export CSV,Allow users to export orders in CSV and Excel format.,data,4,2025-10-10,2025-10-25,2,Medium,feature,Bob
TASK0070,Create onboarding flow,Profile page layout looks cramped on mobile devices. Improve spacing.,data,1,2025-10-07,2025-10-17,-6,Medium,feature,Esha
TASK0071,Add search feature,Add migration scripts to move old schema to new one. Ensure backups.,data,4,2025-10-13,2025-10-21,-2,Medium,chore,Bob
TASK0072,Fix login error,Add migration scripts to move old schema to new one. Ensure backups.,testing,8,2025-10-23,2025-10-26,3,Medium,feature,Esha
TASK0073,Investigate crash on submit,Design and implement onboarding wizard for new users.,testing,2,2025-10-17,2025-10-22,-1,Medium,feature,Alice
TASK0074,Add search feature,App crashes intermittently when submitting large form payloads.,frontend,2,2025-09-25,2025-10-12,-11,Medium,feature,Esha
TASK0075,Add search feature,Design and implement onboarding wizard for new users.,frontend,6,2025-10-16,2025-11-02,10,Low,chore,Esha
TASK0076,Create onboarding flow,Allow users to export orders in CSV and Excel format.,ux,12,2025-10-13,2025-10-30,7,Low,feature,Esha
TASK0077,Update user profile UI,Design and implement onboarding wizard for new users.,testing,4,2025-10-09,2025-10-17,-6,Medium,chore,Chitra
TASK0078,Refactor auth module,Design and implement onboarding wizard for new users.,data,2,2025-09-29,2025-10-08,-15,Medium,feature,Chitra
TASK0079,Write unit tests,Speed up image loading using lazy loading and compression.,devops,8,2025-10-16,2025-10-19,-4,High,bug,Bob
TASK0080,Update user profile UI,Add migration scripts to move old schema to new one. Ensure backups.,backend,6,2025-10-11,2025-10-25,2,Medium,bug,Dev
TASK0081,Fix login error,Add migration scripts to move old schema to new one. Ensure backups.,ux,6,2025-10-10,2025-10-23,0,Medium,chore,Esha
TASK0082,Fix login error,Allow users to export orders in CSV and Excel format.,testing,6,2025-09-23,2025-09-24,-29,Medium,chore,Chitra
TASK0083,Investigate crash on submit,App crashes intermittently when submitting large form payloads.,research,12,2025-09-29,2025-10-17,-6,High,feature,Bob
TASK0084,Database migration,Add unit tests for payment module to improve coverage to 80%.,testing,6,2025-10-08,2025-10-09,-14,Medium,feature,Dev
TASK0085,Update user profile UI,Design and implement onboarding wizard for new users.,frontend,8,2025-09-30,2025-10-18,-5,High,bug,Dev
TASK0086,Add export CSV,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",backend,12,2025-10-05,2025-10-19,-4,High,bug,Dev
TASK0087,Fix login error,Add unit tests for payment module to improve coverage to 80%.,testing,4,2025-10-18,2025-10-25,2,Medium,feature,Chitra
TASK0088,Investigate crash on submit,Add unit tests for payment module to improve coverage to 80%.,ux,6,2025-09-29,2025-10-08,-15,Medium,chore,Dev
TASK0089,Refactor auth module,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",devops,2,2025-10-23,2025-10-26,3,Medium,feature,Alice
TASK0090,Fix login error,Add migration scripts to move old schema to new one. Ensure backups.,frontend,1,2025-09-29,2025-10-19,-4,Medium,bug,Bob
TASK0091,Add search feature,Allow users to export orders in CSV and Excel format.,frontend,6,2025-10-08,2025-10-17,-6,Medium,feature,Bob
TASK0092,Add export CSV,Need to implement a search bar with fuzzy matching and filters.,ux,2,2025-10-04,2025-10-14,-9,Medium,bug,Alice
TASK0093,Write unit tests,Allow users to export orders in CSV and Excel format.,data,6,2025-09-24,2025-10-07,-16,Medium,chore,Bob
TASK0094,Add export CSV,Add migration scripts to move old schema to new one. Ensure backups.,backend,12,2025-10-21,2025-10-31,8,Medium,chore,Esha
TASK0095,Add search feature,Allow users to export orders in CSV and Excel format.,ux,1,2025-09-28,2025-10-10,-13,Medium,feature,Chitra
TASK0096,Refactor auth module,Speed up image loading using lazy loading and compression.,backend,6,2025-10-21,2025-11-06,14,Low,bug,Chitra
TASK0097,Create onboarding flow,Profile page layout looks cramped on mobile devices. Improve spacing.,testing,2,2025-10-03,2025-10-20,-3,Medium,chore,Chitra
TASK0098,Refactor auth module,Design and implement onboarding wizard for new users.,testing,6,2025-10-04,2025-10-23,0,Medium,bug,Bob
TASK0099,Add search feature,Add unit tests for payment module to improve coverage to 80%.,testing,2,2025-09-27,2025-10-12,-11,Medium,feature,Dev
TASK0100,Fix login error,Design and implement onboarding wizard for new users.,ux,4,2025-10-13,2025-10-19,-4,Medium,feature,Chitra
TASK0101,Write unit tests,Speed up image loading using lazy loading and compression.,devops,8,2025-09-28,2025-10-07,-16,High,feature,Esha
TASK0102,Database migration,Need to implement a search bar with fuzzy matching and filters.,frontend,12,2025-09-23,2025-10-07,-16,High,feature,Bob
TASK0103,Create onboarding flow,Design and implement onboarding wizard for new users.,testing,1,2025-10-01,2025-10-04,-19,Medium,bug,Dev
TASK0104,Database migration,Add unit tests for payment module to improve coverage to 80%.,data,8,2025-10-01,2025-10-13,-10,High,feature,Esha
TASK0105,Investigate crash on submit,Refactor authentication flow to use OAuth2 best practices.,devops,4,2025-10-12,2025-10-27,4,Medium,bug,Chitra
TASK0106,Add search feature,Add migration scripts to move old schema to new one. Ensure backups.,devops,1,2025-10-16,2025-11-03,11,Low,chore,Bob
TASK0107,Database migration,Design and implement onboarding wizard for new users.,devops,12,2025-10-17,2025-11-05,13,Medium,chore,Esha
TASK0108,Write unit tests,Need to implement a search bar with fuzzy matching and filters.,ux,2,2025-10-04,2025-10-14,-9,Medium,bug,Bob
TASK0109,Fix login error,Refactor authentication flow to use OAuth2 best practices.,frontend,4,2025-10-14,2025-10-16,-7,Medium,chore,Esha
TASK0110,Update user profile UI,Design and implement onboarding wizard for new users.,backend,1,2025-10-14,2025-11-02,10,Low,bug,Dev
TASK0111,Optimize image loading,Profile page layout looks cramped on mobile devices. Improve spacing.,backend,4,2025-10-09,2025-10-25,2,Medium,bug,Alice
TASK0112,Create onboarding flow,Need to implement a search bar with fuzzy matching and filters.,research,12,2025-10-11,2025-10-13,-10,High,bug,Esha
TASK0113,Write unit tests,Need to implement a search bar with fuzzy matching and filters.,frontend,1,2025-09-23,2025-10-11,-12,Medium,feature,Esha
TASK0114,Add export CSV,Add migration scripts to move old schema to new one. Ensure backups.,ux,8,2025-10-04,2025-10-17,-6,High,feature,Dev
TASK0115,Add export CSV,App crashes intermittently when submitting large form payloads.,devops,8,2025-10-14,2025-11-03,11,Medium,bug,Alice
TASK0116,Database migration,Add migration scripts to move old schema to new one. Ensure backups.,devops,12,2025-09-23,2025-09-26,-27,High,bug,Bob
TASK0117,Add search feature,Profile page layout looks cramped on mobile devices. Improve spacing.,backend,6,2025-10-06,2025-10-21,-2,Medium,feature,Dev
TASK0118,Fix login error,Add migration scripts to move old schema to new one. Ensure backups.,devops,12,2025-10-14,2025-10-24,1,High,feature,Dev
TASK0119,Database migration,Add unit tests for payment module to improve coverage to 80%.,ux,12,2025-10-21,2025-11-09,17,Low,feature,Bob
TASK0120,Add search feature,Refactor authentication flow to use OAuth2 best practices.,frontend,12,2025-10-10,2025-10-15,-8,High,chore,Bob
TASK0121,Fix login error,Profile page layout looks cramped on mobile devices. Improve spacing.,ux,4,2025-10-21,2025-11-10,18,Low,feature,Esha
TASK0122,Write unit tests,Design and implement onboarding wizard for new users.,backend,6,2025-09-24,2025-10-04,-19,Medium,feature,Chitra
TASK0123,Refactor auth module,Design and implement onboarding wizard for new users.,testing,1,2025-10-07,2025-10-27,4,Low,bug,Dev
TASK0124,Optimize image loading,Allow users to export orders in CSV and Excel format.,devops,1,2025-09-30,2025-10-03,-20,Medium,bug,Esha
TASK0125,Fix login error,Add unit tests for payment module to improve coverage to 80%.,research,1,2025-10-05,2025-10-11,-12,Medium,feature,Dev
TASK0126,Write unit tests,Profile page layout looks cramped on mobile devices. Improve spacing.,research,6,2025-09-24,2025-10-10,-13,Medium,chore,Dev
TASK0127,Investigate crash on submit,Speed up image loading using lazy loading and compression.,devops,12,2025-10-12,2025-10-16,-7,High,chore,Chitra
TASK0128,Create onboarding flow,Add unit tests for payment module to improve coverage to 80%.,data,6,2025-10-10,2025-10-28,5,Low,bug,Alice
TASK0129,Write unit tests,Speed up image loading using lazy loading and compression.,backend,6,2025-10-13,2025-10-30,7,Low,chore,Alice
TASK0130,Refactor auth module,Design and implement onboarding wizard for new users.,testing,1,2025-10-02,2025-10-09,-14,Medium,feature,Esha
TASK0131,Create onboarding flow,Design and implement onboarding wizard for new users.,ux,1,2025-09-29,2025-10-06,-17,Medium,bug,Bob
TASK0132,Write unit tests,Design and implement onboarding wizard for new users.,data,6,2025-09-24,2025-09-28,-25,Medium,bug,Esha
TASK0133,Database migration,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,8,2025-09-28,2025-09-29,-24,High,feature,Alice
TASK0134,Add search feature,Design and implement onboarding wizard for new users.,backend,12,2025-10-16,2025-10-21,-2,High,feature,Chitra
TASK0135,Write unit tests,App crashes intermittently when submitting large form payloads.,ux,6,2025-10-07,2025-10-23,0,Medium,bug,Esha
TASK0136,Investigate crash on submit,Add migration scripts to move old schema to new one. Ensure backups.,research,8,2025-10-19,2025-10-24,1,High,chore,Chitra
TASK0137,Investigate crash on submit,Speed up image loading using lazy loading and compression.,ux,8,2025-09-29,2025-10-08,-15,High,chore,Chitra
TASK0138,Write unit tests,Allow users to export orders in CSV and Excel format.,research,12,2025-09-30,2025-10-16,-7,High,chore,Dev
TASK0139,Create onboarding flow,Speed up image loading using lazy loading and compression.,devops,8,2025-10-06,2025-10-24,1,High,feature,Chitra
TASK0140,Database migration,Add migration scripts to move old schema to new one. Ensure backups.,research,6,2025-09-26,2025-10-04,-19,Medium,chore,Dev
TASK0141,Optimize image loading,Design and implement onboarding wizard for new users.,data,6,2025-10-22,2025-11-04,12,Low,chore,Bob
TASK0142,Fix login error,Profile page layout looks cramped on mobile devices. Improve spacing.,research,8,2025-10-08,2025-10-19,-4,High,chore,Dev
TASK0143,Refactor auth module,Design and implement onboarding wizard for new users.,backend,12,2025-10-20,2025-10-25,2,High,feature,Bob
TASK0144,Create onboarding flow,Add unit tests for payment module to improve coverage to 80%.,devops,8,2025-10-21,2025-11-03,11,Medium,feature,Chitra
TASK0145,Refactor auth module,App crashes intermittently when submitting large form payloads.,devops,12,2025-09-26,2025-10-12,-11,High,chore,Alice
TASK0146,Add search feature,Add migration scripts to move old schema to new one. Ensure backups.,data,12,2025-10-04,2025-10-14,-9,High,chore,Alice
TASK0147,Add search feature,Need to implement a search bar with fuzzy matching and filters.,testing,2,2025-10-10,2025-10-20,-3,Medium,chore,Alice
TASK0148,Fix login error,Add unit tests for payment module to improve coverage to 80%.,devops,4,2025-10-13,2025-10-27,4,Medium,bug,Esha
TASK0149,Add export CSV,Profile page layout looks cramped on mobile devices. Improve spacing.,frontend,2,2025-10-10,2025-10-13,-10,Medium,feature,Dev
TASK0150,Database migration,Design and implement onboarding wizard for new users.,research,2,2025-10-04,2025-10-12,-11,Medium,feature,Chitra
TASK0151,Write unit tests,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",ux,6,2025-10-09,2025-10-19,-4,Medium,feature,Bob
TASK0152,Create onboarding flow,Speed up image loading using lazy loading and compression.,research,4,2025-10-21,2025-11-04,12,Low,feature,Dev
TASK0153,Write unit tests,Add migration scripts to move old schema to new one. Ensure backups.,testing,6,2025-09-26,2025-09-30,-23,Medium,bug,Esha
TASK0154,Add export CSV,Add unit tests for payment module to improve coverage to 80%.,data,4,2025-10-12,2025-10-13,-10,Medium,chore,Dev
TASK0155,Fix login error,Allow users to export orders in CSV and Excel format.,ux,12,2025-10-15,2025-10-17,-6,High,chore,Dev
TASK0156,Write unit tests,Add migration scripts to move old schema to new one. Ensure backups.,research,4,2025-09-27,2025-10-05,-18,Medium,feature,Esha
TASK0157,Update user profile UI,Need to implement a search bar with fuzzy matching and filters.,data,12,2025-10-15,2025-10-17,-6,High,bug,Dev
TASK0158,Add export CSV,Speed up image loading using lazy loading and compression.,data,2,2025-10-22,2025-10-25,2,Medium,chore,Chitra
TASK0159,Investigate crash on submit,Profile page layout looks cramped on mobile devices. Improve spacing.,frontend,2,2025-09-30,2025-10-18,-5,Medium,chore,Chitra
TASK0160,Refactor auth module,Add unit tests for payment module to improve coverage to 80%.,ux,2,2025-10-07,2025-10-16,-7,Medium,chore,Dev
TASK0161,Write unit tests,Speed up image loading using lazy loading and compression.,ux,1,2025-09-23,2025-10-08,-15,Medium,chore,Bob
TASK0162,Database migration,App crashes intermittently when submitting large form payloads.,ux,8,2025-09-29,2025-10-11,-12,High,bug,Dev
TASK0163,Write unit tests,Refactor authentication flow to use OAuth2 best practices.,backend,6,2025-10-23,2025-11-04,12,Low,feature,Chitra
TASK0164,Investigate crash on submit,Speed up image loading using lazy loading and compression.,backend,12,2025-10-05,2025-10-13,-10,High,feature,Esha
TASK0165,Refactor auth module,Speed up image loading using lazy loading and compression.,research,2,2025-09-25,2025-09-28,-25,Medium,feature,Dev
TASK0166,Write unit tests,App crashes intermittently when submitting large form payloads.,backend,2,2025-09-24,2025-09-26,-27,Medium,chore,Chitra
TASK0167,Add search feature,Need to implement a search bar with fuzzy matching and filters.,frontend,8,2025-10-08,2025-10-13,-10,High,feature,Chitra
TASK0168,Refactor auth module,App crashes intermittently when submitting large form payloads.,research,12,2025-10-02,2025-10-07,-16,High,chore,Alice
TASK0169,Create onboarding flow,Allow users to export orders in CSV and Excel format.,testing,4,2025-09-27,2025-09-29,-24,Medium,feature,Bob
TASK0170,Create onboarding flow,Add migration scripts to move old schema to new one. Ensure backups.,ux,4,2025-10-09,2025-10-13,-10,Medium,chore,Chitra
TASK0171,Optimize image loading,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",testing,4,2025-10-06,2025-10-13,-10,Medium,chore,Dev
TASK0172,Database migration,Allow users to export orders in CSV and Excel format.,backend,1,2025-10-21,2025-11-01,9,Low,bug,Bob
TASK0173,Add export CSV,Add migration scripts to move old schema to new one. Ensure backups.,backend,8,2025-09-28,2025-10-05,-18,High,feature,Bob
TASK0174,Update user profile UI,Allow users to export orders in CSV and Excel format.,backend,4,2025-10-13,2025-10-18,-6,Medium,chore,Esha
TASK0175,Update user profile UI,Need to implement a search bar with fuzzy matching and filters.,data,1,2025-10-15,2025-10-20,-3,Medium,bug,Bob
TASK0176,Optimize image loading,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",frontend,4,2025-10-05,2025-10-07,-16,Medium,bug,Dev
TASK0177,Add search feature,Need to implement a search bar with fuzzy matching and filters.,testing,6,2025-10-07,2025-10-19,-4,Medium,feature,Alice
TASK0178,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,research,1,2025-10-09,2025-10-26,3,Low,bug,Alice
TASK0179,Create onboarding flow,App crashes intermittently when submitting large form payloads.,testing,12,2025-10-22,2025-10-26,3,Medium,feature,Dev
TASK0180,Add search feature,Speed up image loading using lazy loading and compression.,research,2,2025-10-21,2025-10-24,1,Medium,bug,Esha
TASK0181,Add export CSV,Refactor authentication flow to use OAuth2 best practices.,data,4,2025-10-03,2025-10-16,-7,Medium,chore,Esha
TASK0182,Create onboarding flow,Refactor authentication flow to use OAuth2 best practices.,research,6,2025-10-14,2025-10-18,-5,Medium,feature,Alice
TASK0183,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,testing,6,2025-09-26,2025-10-04,-19,Medium,feature,Dev
TASK0184,Investigate crash on submit,Need to implement a search bar with fuzzy matching and filters.,devops,6,2025-10-11,2025-10-22,-1,Medium,feature,Chitra
TASK0185,Update user profile UI,Design and implement onboarding wizard for new users.,backend,1,2025-09-23,2025-09-26,-27,Medium,bug,Alice
TASK0186,Optimize image loading,Profile page layout looks cramped on mobile devices. Improve spacing.,research,1,2025-09-30,2025-10-19,-4,Medium,chore,Esha
TASK0187,Add search feature,App crashes intermittently when submitting large form payloads.,devops,12,2025-10-13,2025-10-27,4,High,chore,Alice
TASK0188,Write unit tests,Allow users to export orders in CSV and Excel format.,devops,4,2025-09-23,2025-09-27,-26,Medium,feature,Bob
TASK0189,Create onboarding flow,Add migration scripts to move old schema to new one. Ensure backups.,ux,1,2025-10-19,2025-10-31,8,Low,chore,Chitra
TASK0190,Write unit tests,Allow users to export orders in CSV and Excel format.,frontend,6,2025-10-20,2025-11-07,15,Low,chore,Esha
TASK0191,Refactor auth module,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",research,12,2025-10-04,2025-10-13,-10,High,bug,Chitra
TASK0192,Write unit tests,Speed up image loading using lazy loading and compression.,devops,1,2025-10-01,2025-10-07,-16,Medium,chore,Esha
TASK0193,Investigate crash on submit,Need to implement a search bar with fuzzy matching and filters.,frontend,12,2025-10-02,2025-10-03,-20,High,bug,Esha
TASK0194,Investigate crash on submit,App crashes intermittently when submitting large form payloads.,testing,4,2025-10-17,2025-10-23,0,Medium,feature,Chitra
TASK0195,Add export CSV,Allow users to export orders in CSV and Excel format.,backend,1,2025-09-29,2025-10-04,-19,Medium,bug,Esha
TASK0196,Add search feature,Add unit tests for payment module to improve coverage to 80%.,testing,12,2025-10-22,2025-11-05,13,Low,feature,Dev
TASK0197,Write unit tests,Add migration scripts to move old schema to new one. Ensure backups.,ux,8,2025-10-10,2025-10-14,-9,High,bug,Alice
TASK0198,Add export CSV,Design and implement onboarding wizard for new users.,research,12,2025-10-14,2025-10-24,1,High,bug,Dev
TASK0199,Fix login error,"When user logs in, sometimes get 500 error. Steps to reproduce: ...",frontend,4,2025-10-04,2025-10-11,-12,Medium,feature,Chitra
TASK0200,Optimize image loading,Need to implement a search bar with fuzzy matching and filters.,backend,6,2025-10-14,2025-10-28,5,Medium,bug,Dev
TASK0201,Database migration,Refactor authentication flow to use OAuth2 best practices.,research,12,2025-10-06,2025-10-18,-5,High,bug,Alice
TASK0202,Fix login error,Design and implement onboarding wizard for new users.,backend,4,2025-10-10,2025-10-29,6,Low,feature,Dev
TASK0203,Investigate crash on submit,Add unit tests for payment module to improve coverage to 80%.,backend,6,2025-10-01,2025-10-02,-21,Medium,chore,Bob
TASK0204,Add export CSV,Design and implement onboarding wizard for new users.,ux,12,2025-09-28,2025-10-10,-13,High,bug,Alice
TASK0205,Investigate crash on submit,Allow users to export orders in CSV and Excel format.,testing,8,2025-10-16,2025-10-19,-4,High,feature,Chitra
TASK0206,Optimize image loading,Add migration scripts to move old schema to new one. Ensure backups.,devops,2,2025-09-30,2025-10-03,-20,Medium,feature,Alice
TASK0207,Refactor auth module,Add migration scripts to move old schema to new one. Ensure backups.,ux,4,2025-10-07,2025-10-19,-4,Medium,feature,Bob
TASK0208,Add search feature,Profile page layout looks cramped on mobile devices. Improve spacing.,devops,2,2025-10-16,2025-10-22,-1,Medium,feature,Alice
